epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.5003,1.7408,3.44727,1.728,0.00937,0.9314,0.19282,0.11592,1.06844,3.42716,1.21723,0.00015,0.00015,0.00015
2,16.8808,1.35885,2.7664,1.3939,0.0092,0.94318,0.38447,0.2435,1.05399,3.1235,1.15751,0.000300125,0.000300125,0.000300125
3,22.2291,1.37499,2.18211,1.43092,1,0.06729,0.48956,0.29858,1.18593,2.86782,1.22816,0.00043738,0.00043738,0.00043738
4,27.7109,1.3227,1.86738,1.38574,0.53004,0.25981,0.47098,0.25664,1.21293,2.60173,1.30384,0.000561765,0.000561765,0.000561765
5,33.0462,1.32348,1.67323,1.35749,0.54163,0.69706,0.70222,0.43424,1.18238,1.95981,1.29401,0.00067328,0.00067328,0.00067328
6,38.5421,1.29852,1.64282,1.33229,0.46315,0.65821,0.60273,0.37484,1.19726,2.28472,1.32117,0.000771925,0.000771925,0.000771925
7,43.8421,1.24101,1.47069,1.29852,0.46859,0.68612,0.67546,0.44345,1.12566,1.99162,1.30467,0.0008577,0.0008577,0.0008577
8,50.0941,1.24804,1.44926,1.3243,0.65332,0.64064,0.689,0.43738,1.22832,1.77706,1.33814,0.0009035,0.0009035,0.0009035
9,56.8588,1.2073,1.41602,1.27902,0.63104,0.65188,0.65981,0.39321,1.29722,1.88078,1.41412,0.000854,0.000854,0.000854
10,63.4018,1.22299,1.32457,1.24411,0.68494,0.69192,0.7155,0.41283,1.30888,1.78225,1.42141,0.0008045,0.0008045,0.0008045
11,70.14,1.20235,1.32821,1.26139,0.71632,0.76161,0.76166,0.49272,1.17747,1.57869,1.34245,0.000755,0.000755,0.000755
12,77.3345,1.17709,1.22774,1.21741,0.67884,0.81702,0.81684,0.51196,1.20788,1.46603,1.35556,0.0007055,0.0007055,0.0007055
13,84.4221,1.1916,1.21715,1.22315,0.66926,0.85281,0.79614,0.53685,1.13008,1.41166,1.27418,0.000656,0.000656,0.000656
14,91.1009,1.17685,1.20277,1.23188,0.71502,0.77055,0.79252,0.50808,1.27782,1.48586,1.33482,0.0006065,0.0006065,0.0006065
15,97.6329,1.14328,1.18561,1.22209,0.73669,0.80757,0.79124,0.53056,1.11786,1.47195,1.2348,0.000557,0.000557,0.000557
16,199.094,1.07261,1.20695,1.22179,0.77588,0.85914,0.86608,0.58389,1.19469,1.37697,1.25875,0.0005075,0.0005075,0.0005075
17,205.336,1.0659,1.22415,1.19085,0.81432,0.88438,0.89417,0.61552,1.09296,1.20362,1.2173,0.000458,0.000458,0.000458
18,212.514,1.05178,1.08323,1.18398,0.83775,0.88245,0.89388,0.58679,1.13842,1.20121,1.22769,0.0004085,0.0004085,0.0004085
19,218.007,1.01835,1.09651,1.16793,0.82802,0.92257,0.91758,0.61586,1.16263,1.22687,1.23232,0.000359,0.000359,0.000359
20,223.849,1.01038,1.07854,1.17057,0.83918,0.90083,0.92573,0.62896,1.07128,1.15999,1.21223,0.0003095,0.0003095,0.0003095
21,229.668,0.99533,1.00231,1.13823,0.82803,0.90957,0.91427,0.61451,1.05389,1.14083,1.20598,0.00026,0.00026,0.00026
22,236.563,0.98654,0.97286,1.1237,0.80037,0.89704,0.87971,0.6129,1.08418,1.22574,1.19733,0.0002105,0.0002105,0.0002105
23,243.309,0.97369,0.92411,1.11582,0.8633,0.89318,0.91502,0.61855,1.0917,1.19589,1.20712,0.000161,0.000161,0.000161
24,250.073,0.96263,0.98741,1.1352,0.85994,0.9362,0.93048,0.6265,1.06826,1.0891,1.19056,0.0001115,0.0001115,0.0001115
25,256.241,0.97742,0.9546,1.14508,0.91008,0.88535,0.92812,0.62956,1.05406,1.06775,1.1826,6.2e-05,6.2e-05,6.2e-05
