epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.9942,1.69127,3.44351,1.6673,0.00854,0.86464,0.17996,0.11578,1.07187,3.46316,1.2631,0.00015,0.00015,0.00015
2,131.387,1.30946,2.66724,1.38363,0.00887,0.90118,0.30748,0.18057,1.08451,3.17013,1.22227,0.000300125,0.000300125,0.000300125
3,202.258,1.29829,2.08228,1.39671,0.91143,0.12031,0.52218,0.33832,1.13034,2.84157,1.21799,0.00043738,0.00043738,0.00043738
4,275.529,1.29332,1.89433,1.35659,0.65566,0.43901,0.57172,0.32379,1.29525,2.44676,1.33332,0.000561765,0.000561765,0.000561765
5,380.432,1.30654,1.7169,1.37973,0.35809,0.55933,0.50746,0.28736,1.46692,2.52574,1.44579,0.00067328,0.00067328,0.00067328
6,493.753,1.27009,1.55896,1.34436,0.45537,0.5925,0.55055,0.32557,1.37726,2.26093,1.44817,0.000771925,0.000771925,0.000771925
7,569.594,1.25318,1.51598,1.34433,0.41133,0.54823,0.57067,0.34047,1.32525,2.45878,1.47591,0.0008577,0.0008577,0.0008577
8,634.504,1.24185,1.44425,1.323,0.87359,0.21501,0.38661,0.1833,1.38252,3.04468,1.57275,0.0009035,0.0009035,0.0009035
9,704.589,1.23245,1.36944,1.31648,0.5068,0.57594,0.61902,0.36027,1.30248,2.42225,1.41576,0.000854,0.000854,0.000854
10,783.325,1.23154,1.39143,1.27224,0.61447,0.68658,0.71355,0.40969,1.3895,2.33037,1.48678,0.0008045,0.0008045,0.0008045
11,865.347,1.18272,1.34723,1.26886,0.59641,0.71346,0.70364,0.41219,1.31138,1.89086,1.41483,0.000755,0.000755,0.000755
12,946.808,1.1812,1.24513,1.24834,0.67769,0.81247,0.76985,0.48506,1.16789,1.44369,1.35493,0.0007055,0.0007055,0.0007055
13,1024.47,1.13294,1.18957,1.21675,0.64646,0.80407,0.7964,0.49641,1.22109,1.51955,1.3367,0.000656,0.000656,0.000656
14,1100.15,1.23286,1.26573,1.31309,0.73897,0.86398,0.83704,0.54925,1.17705,1.37331,1.30979,0.0006065,0.0006065,0.0006065
15,1217.78,1.13006,1.16962,1.26341,0.76481,0.87053,0.87218,0.55343,1.16776,1.28196,1.31939,0.000557,0.000557,0.000557
16,1325.28,1.05844,1.19295,1.20366,0.79705,0.81317,0.8717,0.56525,1.17903,1.47416,1.29803,0.0005075,0.0005075,0.0005075
17,1422.26,1.0735,1.24284,1.21062,0.82311,0.8862,0.88902,0.57569,1.19324,1.26597,1.29054,0.000458,0.000458,0.000458
18,1506.56,1.06609,1.10401,1.20138,0.87906,0.87406,0.89647,0.5577,1.20367,1.24596,1.29081,0.0004085,0.0004085,0.0004085
19,1578.51,1.06209,1.08315,1.20677,0.87007,0.8962,0.90331,0.57301,1.15142,1.24906,1.32396,0.000359,0.000359,0.000359
20,1647.34,1.01142,1.04996,1.16202,0.80725,0.90115,0.9113,0.59862,1.19688,1.20122,1.26833,0.0003095,0.0003095,0.0003095
21,1723.41,0.98733,1.01926,1.15562,0.8258,0.92384,0.93078,0.62436,1.15055,1.16951,1.25909,0.00026,0.00026,0.00026
22,1797.21,1.02986,1.04205,1.19631,0.88622,0.92292,0.93296,0.61557,1.13045,1.15035,1.26414,0.0002105,0.0002105,0.0002105
23,1871.31,0.99938,0.9965,1.15753,0.88304,0.9442,0.92296,0.60238,1.18748,1.10472,1.27578,0.000161,0.000161,0.000161
24,1936.25,0.9569,0.97935,1.1234,0.89807,0.9144,0.9343,0.60794,1.13404,1.08345,1.25104,0.0001115,0.0001115,0.0001115
25,2009.36,0.94694,0.96283,1.12979,0.87564,0.9673,0.93513,0.61863,1.09922,1.06041,1.23524,6.2e-05,6.2e-05,6.2e-05
